2020-06-17T16:35:43.978+0300	INFO	9283a.state        	Reward applied	{"node_id": "9283a", "account": "0x679c9", "reward": 1190476190476, "layer_id": 3405}
2020-06-17T16:35:43.978+0300	INFO	9283a.state        	Reward applied	{"node_id": "9283a", "account": "0x00000", "reward": 1190476190476, "layer_id": 3405}
2020-06-17T16:35:43.978+0300	INFO	9283a.state        	Reward applied	{"node_id": "9283a", "account": "0x00000", "reward": 1190476190476, "layer_id": 3405}
2020-06-17T16:35:43.978+0300	INFO	9283a.state        	Reward applied	{"node_id": "9283a", "account": "0x00000", "reward": 1190476190476, "layer_id": 3405}
2020-06-17T16:35:43.978+0300	INFO	9283a.state        	Reward applied	{"node_id": "9283a", "account": "0x00000", "reward": 1190476190476, "layer_id": 3405}
2020-06-17T16:35:43.978+0300	INFO	9283a.state        	Reward applied	{"node_id": "9283a", "account": "0xDcD00", "reward": 1190476190476, "layer_id": 3405}
2020-06-17T16:35:43.978+0300	INFO	9283a.state        	Reward applied	{"node_id": "9283a", "account": "0x00000", "reward": 1190476190476, "layer_id": 3405}
2020-06-17T16:35:43.978+0300	INFO	9283a.state        	Reward applied	{"node_id": "9283a", "account": "0x7b742", "reward": 1190476190476, "layer_id": 3405}
2020-06-17T16:35:43.980+0300	INFO	9283a.state        	Reward applied	{"node_id": "9283a", "account": "0x00000", "reward": 1190476190476, "layer_id": 3405}
2020-06-17T16:35:43.980+0300	INFO	9283a.state        	Reward applied	{"node_id": "9283a", "account": "0xaFEd9", "reward": 1190476190476, "layer_id": 3405}
2020-06-17T16:35:43.982+0300	INFO	9283a.state        	new state root	{"node_id": "9283a", "layer_id": 3405, "state_root": "0x65ff0bf81bf6ca82218c609a5f60dfdae1d6382f9213cae9b95a2069160c74f2"}
2020-06-17T16:35:43.982+0300	INFO	00000.defaultLogger	Reward calculated	{"layer_id": 3405, "total_reward": 50000000000000, "num_blocks": 42, "block_reward": 1190476190476, "reward_remainder": 8}
2020-06-17T16:35:43.983+0300	INFO	9283a.state        	new state root	{"node_id": "9283a", "layer_id": 3405, "state_root": "0x65ff0bf81bf6ca82218c609a5f60dfdae1d6382f9213cae9b95a2069160c74f2"}
2020-06-17T16:35:43.983+0300	INFO	9283a.mesh         	applied transactions	{"node_id": "9283a", "valid_block_txs": 0, "layer_id": 3405, "num_failed_txs": 0}
2020-06-17T16:35:43.983+0300	INFO	9283a.mesh         	end of layer state root	{"node_id": "9283a", "event": true, "layer_id": 3405, "state_root": "65ff0bf81bf6ca82218c609a5f60dfdae1d6382f9213cae9b95a2069160c74f2"}
